"","state","puma","X","jpumarow","serialno.household","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
"20001",13,1103,537,13,8361452,0,52,13,81000,0,0,0,1,0,1,0,0,0,1,NA,13121
"35184",13,1107,541,17,57815,0,32,11,45000,0,1,0,1,0,1,0,0,0,1,NA,13121
"12083",13,1101,535,11,2946098,1,49,11,0,0,0,0,1,0,1,0,0,0,1,NA,13121
"35014",13,1107,541,17,9249707,0,36,9,35000,0,1,0,1,0,1,0,0,0,1,NA,13121
"10518",13,1101,535,11,9744163,1,35,9,0,0,0,0,1,0,1,1,0,0,0,NA,13121
"31115",13,1106,540,16,7143639,1,31,13,9300,0,1,0,0,0,1,1,1,0,0,NA,13121
"22249",13,1103,537,13,5484,1,37,13,0,0,0,0,1,0,1,1,0,0,0,NA,13121
"14105",13,1102,536,12,7674000,1,29,11,20404,0,0,0,0,0,1,0,0,0,1,NA,13121
"28182",13,1105,539,15,4666386,1,85,3,13000,0,1,0,0,1,1,0,0,0,0,NA,13121
"17931",13,1102,536,12,7119587,1,32,15,71000,0,0,0,1,0,1,0,0,0,1,NA,13121
"23867",13,1104,538,14,391789,0,31,13,34000,0,0,0,0,0,1,0,0,0,1,NA,13121
"34259",13,1107,541,17,5089400,1,30,11,33600,0,1,0,0,0,1,0,0,1,1,NA,13121
"17149",13,1102,536,12,122278,1,60,12,10000,0,0,0,0,0,1,0,0,0,1,NA,13121
"22910",13,1104,538,14,5010024,1,34,13,3900,0,0,0,1,0,1,1,0,0,1,NA,13121
"29165",13,1106,540,16,1315736,1,33,13,33000,0,1,0,0,0,1,1,0,0,0,NA,13121
"18280",13,1102,536,12,2040616,0,25,10,47100,0,0,0,1,0,1,0,0,0,1,NA,13121
"10907",13,1101,535,11,6103719,1,29,13,0,0,0,0,1,0,1,1,0,0,0,NA,13121
"19409",13,1103,537,13,2694223,0,54,14,61000,0,0,0,1,0,1,0,0,1,1,NA,13121
"18668",13,1103,537,13,4349807,0,35,11,25000,0,0,0,0,0,1,0,0,0,1,NA,13121
"19434",13,1103,537,13,6127543,1,40,13,0,0,0,0,1,0,1,1,0,0,0,NA,13121
"28092",13,1105,539,15,3787032,1,67,11,74200,0,0,0,0,1,1,0,0,0,1,NA,13121
"26606",13,1105,539,15,3969226,0,36,5,6370,0,1,0,0,0,1,0,1,0,0,NA,13121
"19988",13,1103,537,13,5009857,0,70,13,58100,0,0,0,0,1,1,0,0,1,0,NA,13121
"15955",13,1102,536,12,1990607,0,29,9,55000,0,0,0,1,0,1,0,1,0,1,NA,13121
"20765",13,1103,537,13,5470958,1,25,9,25000,0,0,0,0,0,1,0,1,0,1,NA,13121
"12826",13,1102,536,12,932937,1,55,14,45000,0,0,0,1,0,1,0,0,0,1,NA,13121
"31468",13,1106,540,16,7458304,1,32,13,20000,0,1,0,0,0,1,0,0,0,1,NA,13121
"17439",13,1102,536,12,8618331,1,50,11,38000,0,0,0,1,0,1,0,0,0,1,NA,13121
"17743",13,1102,536,12,5820471,0,23,12,31000,0,0,0,0,0,1,0,0,0,1,NA,13121
"17781",13,1102,536,12,8072699,0,31,13,40000,0,0,0,1,0,1,0,0,0,1,NA,13121
"19133",13,1103,537,13,9276238,0,58,14,157200,0,0,0,1,0,1,0,0,0,1,NA,13121
"29462",13,1106,540,16,6154731,0,68,14,15000,0,1,0,0,1,1,0,0,1,1,NA,13121
"25751",13,1104,538,14,1703175,1,48,8,170,0,1,0,0,0,1,0,1,0,0,NA,13121
"31000",13,1106,540,16,4036590,0,30,9,3800,0,1,0,1,0,1,0,0,0,0,NA,13121
"22853",13,1104,538,14,4369164,1,21,11,23400,0,1,0,0,0,1,0,0,0,1,1,13121
"18780",13,1103,537,13,3540508,0,39,11,315000,0,0,0,1,0,1,0,0,0,1,NA,13121
"33846",13,1107,541,17,3772161,1,25,12,14000,0,1,0,0,0,1,1,0,0,1,NA,13121
"10033",13,1101,535,11,3737226,1,21,10,3000,0,0,0,0,0,1,0,1,0,0,NA,13121
"32509",13,1107,541,17,6227610,1,18,6,160,0,1,0,0,0,1,1,0,0,0,NA,13121
"14704",13,1102,536,12,2048017,1,63,12,21200,0,0,0,0,1,1,0,1,0,0,NA,13121
"28944",13,1105,539,15,8912592,1,40,13,29000,0,1,0,1,0,1,1,0,0,1,NA,13121
"28422",13,1105,539,15,1831188,1,83,8,13900,0,1,0,0,1,1,0,1,0,0,NA,13121
"28201",13,1105,539,15,2888321,0,28,8,17000,0,1,0,0,0,1,0,0,0,1,NA,13121
"11699",13,1101,535,11,9968528,0,28,13,15000,0,0,0,0,0,1,0,0,0,1,NA,13121
"29391",13,1106,540,16,8596478,1,38,9,0,0,1,0,0,0,1,0,0,0,0,NA,13121
"35223",13,1107,541,17,9263927,1,52,9,150,0,1,0,0,0,1,0,0,0,1,NA,13121
"27333",13,1105,539,15,9365477,1,69,9,7800,0,0,0,1,0,1,0,0,0,0,NA,13121
"16199",13,1102,536,12,4313213,1,58,16,25900,0,0,0,1,0,1,0,0,0,1,1,13121
"25672",13,1104,538,14,5452388,0,44,7,15000,0,1,0,0,0,1,0,0,0,1,NA,13121
"34908",13,1107,541,17,987975,0,40,10,20000,0,1,0,1,0,1,0,1,0,1,NA,13121
"32597",13,1107,541,17,5061560,1,62,9,14000,0,1,0,1,0,1,0,1,0,1,NA,13121
"18491",13,1102,536,12,3187313,1,40,14,0,0,0,0,1,0,1,1,0,0,0,NA,13121
"11529",13,1101,535,11,6167288,0,44,13,185000,0,0,0,0,0,1,0,0,0,1,NA,13121
"24913",13,1104,538,14,1807821,1,33,9,14170,0,1,0,0,0,1,1,0,0,1,NA,13121
"29378",13,1106,540,16,5633281,1,39,13,45000,0,1,0,1,0,1,1,0,0,1,1,13121
"18143",13,1102,536,12,5335839,1,48,9,0,0,0,0,1,0,1,0,0,0,0,NA,13121
"25209",13,1104,538,14,9655348,1,53,4,7900,0,1,0,0,0,1,1,1,0,0,NA,13121
"33498",13,1107,541,17,8783702,1,71,9,14400,0,1,0,0,1,1,0,0,0,1,NA,13121
"11256",13,1101,535,11,7568613,1,57,11,35000,0,0,0,1,0,1,0,0,0,1,NA,13121
"21521",13,1103,537,13,2225422,0,45,13,91000,0,0,0,1,0,1,0,0,0,1,NA,13121
"10854",13,1101,535,11,9850686,0,46,13,131700,0,0,0,1,0,1,0,0,0,1,NA,13121
"16601",13,1102,536,12,9550429,1,79,11,9500,0,0,0,0,0,1,0,0,0,0,NA,13121
"19463",13,1103,537,13,4974216,0,21,9,0,1,0,0,1,0,1,0,0,0,0,NA,13121
"12307",13,1101,535,11,443009,1,93,11,56200,0,0,0,0,1,1,0,1,0,0,NA,13121
"20542",13,1103,537,13,5030897,1,55,15,138000,0,0,0,0,0,1,0,0,0,1,1,13121
"19606",13,1103,537,13,220110,0,26,13,25000,0,0,0,0,0,1,0,0,0,0,NA,13121
"23588",13,1104,538,14,2956696,0,50,11,18100,0,0,0,0,0,1,0,0,0,1,NA,13121
"26710",13,1105,539,15,3471157,0,28,6,7600,0,1,0,0,0,1,0,1,0,0,NA,13121
"30481",13,1106,540,16,1111784,0,36,10,10700,0,1,0,0,0,1,0,1,0,1,NA,13121
"20829",13,1103,537,13,2399905,0,64,11,69800,0,0,0,1,0,1,0,0,0,1,NA,13121
"23317",13,1104,538,14,2924080,1,40,11,0,0,0,1,1,0,1,0,0,0,0,1,13121
"20324",13,1103,537,13,642209,0,45,14,51000,0,0,0,1,0,1,0,0,0,1,NA,13121
"25896",13,1104,538,14,7333187,0,24,12,20000,0,1,0,1,0,1,0,0,0,1,NA,13121
"34566",13,1107,541,17,1042356,1,38,13,10000,0,0,0,1,0,1,0,0,0,1,NA,13121
"15608",13,1102,536,12,5883838,0,44,11,60000,0,0,0,1,0,1,0,1,0,1,NA,13121
"10832",13,1101,535,11,691885,0,21,6,15000,0,0,1,1,0,1,0,0,1,1,NA,13121
"11853",13,1101,535,11,3088925,1,39,13,80000,0,0,0,1,0,1,0,0,0,1,NA,13121
"15356",13,1102,536,12,6976962,0,20,11,5000,0,0,0,0,0,1,0,1,0,1,NA,13121
"16150",13,1102,536,12,1423705,0,32,15,427000,0,0,0,1,0,1,0,0,0,1,1,13121
"27285",13,1105,539,15,3122700,1,61,14,49600,0,1,0,0,0,1,0,0,0,0,NA,13121
"21967",13,1103,537,13,2865620,0,21,11,0,0,0,0,1,0,1,0,0,0,0,NA,13121
"35251",13,1107,541,17,5770678,0,73,6,12800,0,0,0,0,0,1,0,1,0,0,NA,13121
"13364",13,1102,536,12,1848254,1,25,9,25000,0,0,0,0,0,1,0,0,0,1,NA,13121
"25585",13,1104,538,14,5236932,1,31,14,24000,1,1,0,0,0,1,0,0,0,1,NA,13121
"28326",13,1105,539,15,4794996,0,32,9,16000,1,0,0,0,0,0,0,1,0,1,0,13121
"26148",13,1105,539,15,2876168,0,44,13,25000,0,1,0,0,0,1,0,1,0,1,NA,13121
"27454",13,1105,539,15,6853718,1,45,7,19200,0,1,0,0,0,1,0,1,0,0,NA,13121
"26012",13,1104,538,14,4545018,1,19,10,16900,0,0,0,0,0,1,0,0,0,1,NA,13121
"12918",13,1102,536,12,8394796,0,38,13,80000,0,0,0,0,0,1,0,0,1,1,NA,13121
"23216",13,1104,538,14,8820142,1,19,9,300,0,1,0,0,0,1,0,0,0,1,NA,13121
"28472",13,1105,539,15,7863588,1,86,14,5000,0,1,0,0,1,1,0,1,0,0,NA,13121
"34477",13,1107,541,17,5418567,0,48,13,31290,0,0,0,1,0,1,0,0,0,1,NA,13121
"11542",13,1101,535,11,6349534,1,34,11,0,0,0,0,1,0,1,1,0,0,0,NA,13121
"11503",13,1101,535,11,7659514,0,39,14,96000,0,0,0,1,0,1,0,0,0,1,NA,13121
"22819",13,1104,538,14,9123807,1,24,11,20000,0,1,0,0,0,1,1,0,0,1,NA,13121
"13094",13,1102,536,12,6193357,1,47,14,87900,0,0,0,0,0,1,0,0,0,1,NA,13121
"26259",13,1105,539,15,1772264,0,32,11,13200,0,1,0,0,0,1,0,0,0,1,NA,13121
"31572",13,1106,540,16,366458,1,45,4,8500,0,1,0,0,0,1,1,1,1,0,NA,13121
"32870",13,1107,541,17,3802976,1,93,11,21600,0,0,0,0,1,1,0,1,0,0,NA,13121
"28816",13,1105,539,15,5420347,1,33,9,880,1,1,0,0,0,1,1,0,0,0,NA,13121
"30980",13,1106,540,16,1516267,0,51,8,15000,0,1,0,0,0,1,0,0,0,1,NA,13121
"34273",13,1107,541,17,1363646,1,55,10,35000,0,1,0,0,0,1,0,0,0,1,NA,13121
"19661",13,1103,537,13,2385020,1,75,9,25000,0,0,0,0,0,1,0,0,0,0,NA,13121
"35302",13,1107,541,17,6587135,1,37,12,0,0,1,0,1,0,1,1,0,0,0,NA,13121
"14207",13,1102,536,12,2410373,1,70,9,4800,0,0,0,1,0,1,0,0,0,0,NA,13121
"13662",13,1102,536,12,8315743,0,31,1,2400,1,0,0,0,0,0,0,1,0,1,0,13121
"26367",13,1105,539,15,1438029,0,57,13,61100,0,1,0,1,0,1,0,0,1,1,NA,13121
"31137",13,1106,540,16,1699864,0,20,9,3300,0,1,0,0,0,1,0,0,0,1,NA,13121
"34444",13,1107,541,17,6468545,0,67,9,5100,0,1,0,1,0,1,0,0,1,0,NA,13121
"26103",13,1105,539,15,4165134,1,39,14,60000,0,1,0,0,1,1,1,0,0,1,NA,13121
"17183",13,1102,536,12,412448,0,37,13,47300,0,0,0,0,0,1,0,1,0,1,NA,13121
"31943",13,1106,540,16,3922721,1,65,9,23500,0,1,0,1,0,1,0,1,0,1,NA,13121
"12496",13,1101,535,11,3665428,1,28,13,32500,0,0,0,0,0,1,0,0,0,1,NA,13121
"22627",13,1104,538,14,4826290,1,85,5,16100,0,1,0,0,1,1,0,1,0,0,NA,13121
